Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
amdsata,ROOT\ControlSet001\Services,,None,,Boot,KernelDriver,2025-02-05 00:08:53.9876629,2022-05-07 05:24:17.7459182,SCSI miniport,System32\drivers\amdsata.sys,,
amdsbs,ROOT\ControlSet001\Services,,None,,Boot,KernelDriver,2025-02-05 00:08:53.9876629,2022-05-07 05:24:17.7927914,SCSI miniport,System32\drivers\amdsbs.sys,,
amdxata,ROOT\ControlSet001\Services,,None,,Boot,KernelDriver,2025-02-05 00:08:53.9876629,2022-05-07 05:24:17.7459182,SCSI miniport,System32\drivers\amdxata.sys,,
AppID,ROOT\ControlSet001\Services,"@%systemroot%\system32\srpapi.dll,-101",None,"@%systemroot%\system32\srpapi.dll,-100",Manual,KernelDriver,2022-05-07 05:25:13.9215371,2022-05-07 05:25:13.9215371,,system32\drivers\appid.sys,,
AppIDSvc,ROOT\ControlSet001\Services,"@%systemroot%\system32\appidsvc.dll,-101",None,"@%systemroot%\system32\appidsvc.dll,-100",Manual,Win32ShareProcess,2022-05-07 05:26:02.8311588,2022-05-07 05:25:13.9215371,ProfSvc_Group,%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p,%SystemRoot%\System32\appidsvc.dll,SeChangeNotifyPrivilege SeImpersonatePrivilege
Appinfo,ROOT\ControlSet001\Services,"@%systemroot%\system32\appinfo.dll,-101",None,"@%systemroot%\system32\appinfo.dll,-100",Manual,Win32ShareProcess,2022-05-07 05:26:02.8311588,2022-05-07 05:25:13.9215371,,%SystemRoot%\system32\svchost.exe -k netsvcs -p,%SystemRoot%\System32\appinfo.dll,SeAssignPrimaryTokenPrivilege SeIncreaseQuotaPrivilege SeTcbPrivilege SeBackupPrivilege SeRestorePrivilege SeDebugPrivilege SeAuditPrivilege SeChangeNotifyPrivilege SeImpersonatePrivilege SeCreatePermanentPrivilege SeLoadDriverPrivilege SeSystemEnvironmentPrivilege
AppleSSD,ROOT\ControlSet001\Services,,None,"@AppleSSD.inf,%DevDesc1%;Apple Solid State Drive Device",Boot,KernelDriver,2025-02-05 00:08:53.9876629,2022-05-07 05:24:11.3394784,SCSI Miniport,System32\drivers\AppleSSD.sys,,
applockerfltr,ROOT\ControlSet001\Services,"@%systemroot%\system32\srpapi.dll,-103",None,"@%systemroot%\system32\srpapi.dll,-102",Manual,KernelDriver,2022-05-07 05:25:13.9215371,,,system32\drivers\applockerfltr.sys,,
AppMgmt,ROOT\ControlSet001\Services,"@appmgmts.dll,-3251",None,"@appmgmts.dll,-3250",Manual,Win32ShareProcess,2022-05-07 07:39:43.6718663,2022-05-07 07:39:43.6718663,,%SystemRoot%\system32\svchost.exe -k netsvcs -p,%SystemRoot%\System32\appmgmts.dll,SeCreateGlobalPrivilege SeImpersonatePrivilege SeIncreaseQuotaPrivilege SeShutdownPrivilege SeTakeOwnershipPrivilege
AppReadiness,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\AppReadiness.dll,-1001",None,"@%SystemRoot%\System32\AppReadiness.dll,-1000",Manual,Win32ShareProcess,2022-05-07 05:25:13.9215371,2022-05-07 05:25:13.9215371,,%SystemRoot%\System32\svchost.exe -k AppReadiness -p,%SystemRoot%\system32\AppReadiness.dll,SeImpersonatePrivilege SeTcbPrivilege SeBackupPrivilege SeRestorePrivilege SeProfileSingleProcessPrivilege
AppVClient,ROOT\ControlSet001\Services,"@%systemroot%\system32\AppVClient.exe,-101",None,"@%systemroot%\system32\AppVClient.exe,-102",Disabled,Win32OwnProcess,2022-05-07 07:39:43.6718663,,,%systemroot%\system32\AppVClient.exe,,
AppvStrm,ROOT\ControlSet001\Services,"@%systemroot%\system32\drivers\AppvStrm.sys,-102",None,"@%systemroot%\system32\drivers\AppvStrm.sys,-101",Manual,FileSystemDriver,2022-05-07 07:39:43.6718663,,FSFilter HSM,\SystemRoot\system32\drivers\AppvStrm.sys,,
AppvVemgr,ROOT\ControlSet001\Services,"@%systemroot%\system32\drivers\AppvVemgr.sys,-102",None,"@%systemroot%\system32\drivers\AppvVemgr.sys,-101",Manual,FileSystemDriver,2022-05-07 07:39:43.6718663,,FSFilter Activity Monitor,\SystemRoot\system32\drivers\AppvVemgr.sys,,
AppvVfs,ROOT\ControlSet001\Services,"@%systemroot%\system32\drivers\AppvVfs.sys,-102",None,"@%systemroot%\system32\drivers\AppvVfs.sys,-101",Manual,FileSystemDriver,2022-05-07 07:39:43.6718663,,FSFilter Activity Monitor,\SystemRoot\system32\drivers\AppvVfs.sys,,
AppXSvc,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\appxdeploymentserver.dll,-2",None,"@%SystemRoot%\system32\appxdeploymentserver.dll,-1",Manual,Win32ShareProcess,2022-05-07 05:26:02.8311588,2022-05-07 05:25:13.9215371,,%systemroot%\system32\svchost.exe -k wsappx -p,%SystemRoot%\system32\appxdeploymentserver.dll,SeTcbPrivilege SeIncreaseBasePriorityPrivilege SeCreatePermanentPrivilege SeSecurityPrivilege SeChangeNotifyPrivilege SeImpersonatePrivilege SeCreateGlobalPrivilege SeAssignPrimaryTokenPrivilege SeRestorePrivilege SeTakeOwnershipPrivilege SeBackupPrivilege SeCreateSymbolicLinkPrivilege SeDebugPrivilege SeSystemEnvironmentPrivilege
arcsas,ROOT\ControlSet001\Services,,None,"@arcsas.inf,%arcsas_ServiceName%;Adaptec SAS/SATA-II RAID Storport's Miniport Driver",Boot,KernelDriver,2025-02-05 00:08:53.9876629,2022-05-07 05:24:17.8396658,SCSI miniport,System32\drivers\arcsas.sys,,
AssignedAccessManagerSvc,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\assignedaccessmanagersvc.dll,-101",None,"@%SystemRoot%\system32\assignedaccessmanagersvc.dll,-100",Manual,Win32ShareProcess,2022-05-07 07:39:46.4533283,2022-05-07 07:39:43.6718663,,%SystemRoot%\system32\svchost.exe -k AssignedAccessManagerSvc,%SystemRoot%\System32\assignedaccessmanagersvc.dll,
AsyncMac,ROOT\ControlSet001\Services,"@%systemroot%\system32\mprmsg.dll,-32000",None,"@%systemroot%\system32\mprmsg.dll,-32000",Manual,KernelDriver,2022-05-07 05:24:20.6054965,,,\SystemRoot\System32\drivers\asyncmac.sys,,
atapi,ROOT\ControlSet001\Services,,None,"@mshdc.inf,%idechannel.DeviceDesc%;IDE Channel",Boot,KernelDriver,2025-03-10 04:54:17.9138089,,SCSI Miniport,System32\drivers\atapi.sys,,
AudioEndpointBuilder,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\AudioEndpointBuilder.dll,-205",None,"@%SystemRoot%\system32\AudioEndpointBuilder.dll,-204",Automatic,Win32ShareProcess,2025-02-05 00:09:01.5304560,2022-05-07 05:25:13.9215371,AudioGroup,%SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted -p,%SystemRoot%\System32\AudioEndpointBuilder.dll,SeChangeNotifyPrivilege
Audiosrv,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\audiosrv.dll,-201",None,"@%SystemRoot%\system32\audiosrv.dll,-200",Automatic,Win32OwnProcess,2022-05-07 05:28:25.9962887,2022-05-07 05:25:13.9215371,AudioGroup,%SystemRoot%\System32\svchost.exe -k LocalServiceNetworkRestricted -p,%SystemRoot%\System32\Audiosrv.dll,SeChangeNotifyPrivilege SeImpersonatePrivilege SeIncreaseWorkingSetPrivilege
autotimesvc,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\autotimesvc.dll,-7",None,"@%SystemRoot%\System32\autotimesvc.dll,-6",Manual,Win32OwnProcess,2022-05-07 05:26:02.8311588,2022-05-07 05:25:13.9215371,,%SystemRoot%\system32\svchost.exe -k autoTimeSvc,%SystemRoot%\System32\autotimesvc.dll,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeSystemTimePrivilege
AxInstSV,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\AxInstSV.dll,-104",None,"@%SystemRoot%\system32\AxInstSV.dll,-103",Manual,Win32ShareProcess,2022-05-07 05:25:13.9215371,2022-05-07 05:25:13.9215371,,%SystemRoot%\system32\svchost.exe -k AxInstSVGroup,%SystemRoot%\System32\AxInstSV.dll,SeAssignPrimaryTokenPrivilege SeIncreaseQuotaPrivilege SeTcbPrivilege SeBackupPrivilege SeRestorePrivilege SeAuditPrivilege SeChangeNotifyPrivilege SeImpersonatePrivilege
b06bdrv,ROOT\ControlSet001\Services,,None,"@netbvbda.inf,%vbd_srv_desc%;QLogic Network Adapter VBD",Boot,KernelDriver,2025-02-05 00:08:53.9876629,2025-02-05 00:08:51.6707732,System Bus Extender,System32\drivers\bxvbda.sys,,
bam,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\drivers\bam.sys,-101",None,"@%SystemRoot%\system32\drivers\bam.sys,-100",System,KernelDriver,2025-02-05 00:08:54.3820814,,,system32\drivers\bam.sys,,
BasicDisplay,ROOT\ControlSet001\Services,,None,,System,KernelDriver,2025-03-10 04:54:21.0973179,2022-05-07 05:24:25.5591043,Video,\SystemRoot\System32\DriverStore\FileRepository\basicdisplay.inf_amd64_02da009b3d736cc1\BasicDisplay.sys,,
BasicRender,ROOT\ControlSet001\Services,,None,,System,KernelDriver,2025-03-10 04:54:15.9843377,2025-03-09 06:15:17.3096015,Video,\SystemRoot\System32\DriverStore\FileRepository\basicrender.inf_amd64_402645b3f1a80dd7\BasicRender.sys,,
BattC,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2022-05-07 05:25:13.9215371,,,,,
BcastDVRUserService,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\BcastDVRUserService.dll,-101",None,"@%SystemRoot%\system32\BcastDVRUserService.dll,-100",Manual,96,2022-05-07 05:25:13.9215371,2022-05-07 05:25:13.9215371,,%SystemRoot%\system32\svchost.exe -k BcastDVRUserService,%SystemRoot%\System32\BcastDVRUserService.dll,SeImpersonatePrivilege
BcastDVRUserService_37c06,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\BcastDVRUserService.dll,-101",None,GameDVR and Broadcast User Service_37c06,Manual,224,2025-03-10 04:54:24.2458773,,,C:\Windows\system32\svchost.exe -k BcastDVRUserService,,
bcmfn2,ROOT\ControlSet001\Services,,None,"@bcmfn2.inf,%bcmfn2.SVCDESC%;bcmfn2 Service",Manual,KernelDriver,2022-05-07 05:24:11.3707389,,Extended Base,\SystemRoot\System32\drivers\bcmfn2.sys,,
BDESVC,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\bdesvc.dll,-101",None,"@%SystemRoot%\system32\bdesvc.dll,-100",Manual,Win32ShareProcess,2022-05-07 07:39:46.4533283,2022-05-07 07:39:43.6718663,,%SystemRoot%\System32\svchost.exe -k netsvcs -p,%SystemRoot%\System32\bdesvc.dll,SeChangeNotifyPrivilege SeImpersonatePrivilege SeTcbPrivilege SeAssignPrimaryTokenPrivilege SeIncreaseQuotaPrivilege SeSystemEnvironmentPrivilege SeBackupPrivilege SeRestorePrivilege
Beep,ROOT\ControlSet001\Services,,None,Beep,System,KernelDriver,2022-05-07 05:25:13.9059078,,Base,,,
BFE,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\bfe.dll,-1002",None,"@%SystemRoot%\system32\bfe.dll,-1001",Automatic,Win32ShareProcess,2022-05-07 05:25:13.9059078,2022-05-07 05:25:13.9059078,NetworkProvider,%systemroot%\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p,%SystemRoot%\System32\bfe.dll,SeAuditPrivilege
bfs,ROOT\ControlSet001\Services,"@%systemroot%\system32\drivers\bfs.sys,-101",None,"@%systemroot%\system32\drivers\bfs.sys,-100",Automatic,FileSystemDriver,2022-05-07 05:25:13.9059078,2025-02-05 00:08:28.8130273,FSFilter Virtualization,\SystemRoot\system32\drivers\bfs.sys,,
bindflt,ROOT\ControlSet001\Services,"@%systemroot%\system32\drivers\bindflt.sys,-101",None,"@%systemroot%\system32\drivers\bindflt.sys,-100",Automatic,FileSystemDriver,2022-05-07 05:25:13.9059078,2025-02-05 00:09:01.2492377,FSFilter Top,\SystemRoot\system32\drivers\bindflt.sys,,
BITS,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\qmgr.dll,-1001",None,"@%SystemRoot%\system32\qmgr.dll,-1000",Manual,Win32ShareProcess,2025-03-10 06:36:55.6669947,2022-05-07 05:25:13.9059078,,%SystemRoot%\System32\svchost.exe -k netsvcs -p,%SystemRoot%\System32\qmgr.dll,SeCreateGlobalPrivilege SeImpersonatePrivilege SeTcbPrivilege SeAssignPrimaryTokenPrivilege SeIncreaseQuotaPrivilege SeDebugPrivilege
BluetoothUserService,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\Microsoft.Bluetooth.UserService.dll,-102",None,"@%SystemRoot%\system32\Microsoft.Bluetooth.UserService.dll,-101",Manual,96,2022-05-07 05:26:02.8311588,2022-05-07 05:25:13.9059078,,%SystemRoot%\system32\svchost.exe -k BthAppGroup -p,%SystemRoot%\System32\Microsoft.Bluetooth.UserService.dll,
BluetoothUserService_37c06,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\Microsoft.Bluetooth.UserService.dll,-102",None,Bluetooth User Support Service_37c06,Manual,224,2025-03-10 04:54:24.2529458,,,C:\Windows\system32\svchost.exe -k BthAppGroup -p,,
bowser,ROOT\ControlSet001\Services,"@%systemroot%\system32\wkssvc.dll,-2000",None,"@%systemroot%\system32\wkssvc.dll,-2001",Manual,FileSystemDriver,2022-05-07 05:25:13.9059078,,Network,system32\DRIVERS\bowser.sys,,
BrokerInfrastructure,ROOT\ControlSet001\Services,"@%windir%\system32\bisrv.dll,-101",None,"@%windir%\system32\bisrv.dll,-100",Automatic,Win32ShareProcess,2022-05-07 05:25:13.9059078,2022-05-07 05:25:13.9059078,COM Infrastructure,%SystemRoot%\system32\svchost.exe -k DcomLaunch -p,%SystemRoot%\System32\psmsrv.dll,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeCreatePermanentPrivilege SeDebugPrivilege SeImpersonatePrivilege SeShutdownPrivilege SeTcbPrivilege SeProfileSingleProcessPrivilege
BTAGService,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\BTAGService.dll,-102",None,"@%SystemRoot%\system32\BTAGService.dll,-101",Manual,Win32ShareProcess,2022-05-07 05:26:02.8311588,2022-05-07 05:25:13.9059078,,%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted,%SystemRoot%\System32\BTAGService.dll,SeChangeNotifyPrivilege SeIncreaseWorkingSetPrivilege SeCreateGlobalPrivilege
BthA2dp,ROOT\ControlSet001\Services,,None,"@microsoft_bluetooth_a2dp.inf,%BthA2dp.ServiceDescription%;Microsoft Bluetooth A2dp driver",Manual,KernelDriver,2022-05-07 05:24:10.8707057,,,\SystemRoot\System32\drivers\BthA2dp.sys,,
BthAvctpSvc,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\BthAvctpSvc.dll,-102",None,"@%SystemRoot%\system32\BthAvctpSvc.dll,-101",Manual,Win32ShareProcess,2022-05-07 05:26:02.8311588,2022-05-07 05:25:13.9059078,,%SystemRoot%\system32\svchost.exe -k LocalService -p,%SystemRoot%\System32\BthAvctpSvc.dll,SeChangeNotifyPrivilege SeIncreaseWorkingSetPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
BthEnum,ROOT\ControlSet001\Services,,None,"@bth.inf,%BthEnum.SVCDESC%;Bluetooth Enumerator Service",Manual,KernelDriver,2025-03-09 06:15:17.3096015,,,\SystemRoot\System32\drivers\BthEnum.sys,,
BthHFEnum,ROOT\ControlSet001\Services,,None,"@microsoft_bluetooth_hfp.inf,%BTHHFENUM_DISPLAY_NAME%;Microsoft Bluetooth Hands-Free Profile driver",Manual,KernelDriver,2023-10-01 06:55:32.6355924,,Extended Base,\SystemRoot\System32\drivers\bthhfenum.sys,,
BthLEEnum,ROOT\ControlSet001\Services,,None,"@bthleenum.inf,%BthLEEnum.SVCDESC%;Bluetooth Low Energy Driver",Manual,KernelDriver,2025-03-09 06:15:17.3096015,,,\SystemRoot\System32\drivers\Microsoft.Bluetooth.Legacy.LEEnumerator.sys,,
BthMini,ROOT\ControlSet001\Services,,None,"@bth.inf,%BTHMINI.SvcDesc%;Bluetooth Radio Driver",Manual,KernelDriver,2025-03-09 06:15:17.3096015,2025-03-09 06:15:17.3096015,PNP Filter,\SystemRoot\System32\drivers\BTHMINI.sys,,
BTHMODEM,ROOT\ControlSet001\Services,,None,"@mdmbtmdm.inf,%BthModem.DisplayName%;Bluetooth Modem Communications Driver",Manual,KernelDriver,2022-05-07 05:24:31.5595483,,,\SystemRoot\System32\drivers\bthmodem.sys,,
BTHPORT,ROOT\ControlSet001\Services,,None,"@bth.inf,%BTHPORT.SvcDesc%;Bluetooth Port Driver",Manual,KernelDriver,2025-03-09 06:15:17.3096015,2025-03-09 06:15:17.3096015,PNP Filter,\SystemRoot\System32\drivers\BTHport.sys,,
bthserv,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\bthserv.dll,-102",None,"@%SystemRoot%\System32\bthserv.dll,-101",Manual,Win32ShareProcess,2022-05-07 05:26:02.8311588,2022-05-07 05:25:13.9059078,,%SystemRoot%\system32\svchost.exe -k LocalService -p,%SystemRoot%\system32\bthserv.dll,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
BTHUSB,ROOT\ControlSet001\Services,,None,"@bth.inf,%BTHUSB.SvcDesc%;Bluetooth Radio USB Driver",Manual,KernelDriver,2025-03-09 06:15:17.3096015,2025-03-09 06:15:17.3096015,PNP Filter,\SystemRoot\System32\drivers\BTHUSB.sys,,
bttflt,ROOT\ControlSet001\Services,,None,"@virtdisk.inf,%service_desc%;Microsoft Hyper-V VHDPMEM BTT Filter",Boot,KernelDriver,2025-02-05 00:08:53.9876629,,PnP Filter,System32\drivers\bttflt.sys,,
buttonconverter,ROOT\ControlSet001\Services,,None,"@buttonconverter.inf,%btnconv.SvcDesc%;Service for Portable Device Control devices",Manual,KernelDriver,2022-05-07 05:24:29.5750443,,,\SystemRoot\System32\drivers\buttonconverter.sys,,
CAD,ROOT\ControlSet001\Services,,None,"@ChargeArbitration.inf,%CAD_DevDesc%;Charge Arbitration Driver",Manual,KernelDriver,2022-05-07 05:24:11.9644885,,,\SystemRoot\System32\drivers\CAD.sys,,
camsvc,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\CapabilityAccessManager.dll,-2",None,"@%SystemRoot%\system32\CapabilityAccessManager.dll,-1",Manual,Win32ShareProcess,2022-05-07 05:26:02.8311588,2022-05-07 05:25:13.9059078,,%SystemRoot%\system32\svchost.exe -k osprivacy -p,%SystemRoot%\system32\CapabilityAccessManager.dll,SeImpersonatePrivilege SeDebugPrivilege SeTcbPrivilege
CaptureService,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\CaptureService.dll,-101",None,"@%SystemRoot%\system32\CaptureService.dll,-100",Manual,96,2022-05-07 05:25:13.9059078,2022-05-07 05:25:13.9059078,,%SystemRoot%\system32\svchost.exe -k LocalService -p,%SystemRoot%\System32\CaptureService.dll,SeImpersonatePrivilege
CaptureService_37c06,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\CaptureService.dll,-101",None,CaptureService_37c06,Manual,224,2025-03-10 04:54:24.2529458,,,C:\Windows\system32\svchost.exe -k LocalService -p,,
cbdhsvc,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\cbdhsvc.dll,-101",None,"@%SystemRoot%\system32\cbdhsvc.dll,-100",Automatic,96,2022-05-07 05:25:13.9059078,2022-05-07 05:25:13.9059078,,%SystemRoot%\system32\svchost.exe -k ClipboardSvcGroup -p,%SystemRoot%\System32\cbdhsvc.dll,SeImpersonatePrivilege
cbdhsvc_37c06,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\cbdhsvc.dll,-101",None,Clipboard User Service_37c06,Automatic,224,2025-03-10 04:54:24.2582700,,,C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p,,
cdfs,ROOT\ControlSet001\Services,ISO9660/Joliet File System Reader for CD/DVDs. (Core) (All pieces),None,CD/DVD File System Reader,Disabled,FileSystemDriver,2022-05-07 05:25:13.9059078,,Boot File System,system32\DRIVERS\cdfs.sys,,
CDPSvc,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\cdpsvc.dll,-101",None,"@%SystemRoot%\system32\cdpsvc.dll,-100",Automatic,Win32ShareProcess,2022-05-07 05:26:02.8311588,2022-05-07 05:25:13.9059078,,%SystemRoot%\system32\svchost.exe -k LocalService -p,%SystemRoot%\System32\CDPSvc.dll,SeImpersonatePrivilege
CDPUserSvc,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\cdpusersvc.dll,-101",None,"@%SystemRoot%\system32\cdpusersvc.dll,-100",Automatic,96,2022-05-07 05:25:13.9059078,2022-05-07 05:25:13.9059078,,%SystemRoot%\system32\svchost.exe -k UnistackSvcGroup,%SystemRoot%\System32\CDPUserSvc.dll,SeImpersonatePrivilege
