Timestamp,BatchKeyPath,KeyName,BatchValueName,DisplayName,DisplayVersion,Publisher,InstallDate,InstallSource,InstallLocation,UninstallString
2025-03-09 12:26:12.3093193,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{A2FC01E0-059E-4D21-AFD2-B63A7E1EF3CD},{A2FC01E0-059E-4D21-AFD2-B63A7E1EF3CD},Multiple,,,,,,,
2022-05-07 05:27:59.9010667,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\AddressBook,AddressBook,Multiple,,,,,,,
2022-05-07 05:27:59.9010667,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Connection Manager,Connection Manager,Multiple,,,,,,,
2022-05-07 05:27:59.9010667,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\DirectDrawEx,DirectDrawEx,Multiple,,,,,,,
2022-05-07 07:39:43.7812450,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\DXM_Runtime,DXM_Runtime,Multiple,,,,,,,
2022-05-07 05:27:59.9010667,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Fontcore,Fontcore,Multiple,,,,,,,
2022-05-07 05:27:59.9010667,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\IE40,IE40,Multiple,,,,,,,
2022-05-07 05:27:59.9010667,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\IE4Data,IE4Data,Multiple,,,,,,,
2022-05-07 05:27:59.9010667,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\IE5BAKEX,IE5BAKEX,Multiple,,,,,,,
2022-05-07 05:27:59.9010667,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\IEData,IEData,Multiple,,,,,,,
2025-03-09 05:55:53.8841084,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft Edge,Microsoft Edge,Multiple,Microsoft Edge,134.0.3124.51,Microsoft Corporation,20250308,,C:\Program Files (x86)\Microsoft\Edge\Application,"""C:\Program Files (x86)\Microsoft\Edge\Application\134.0.3124.51\Installer\setup.exe"" --uninstall --msedge --channel=stable --system-level --verbose-logging"
2025-03-09 05:54:23.8668343,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft Edge Update,Microsoft Edge Update,Multiple,,1.3.195.45,,,,,
2025-03-09 05:56:55.6189274,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft EdgeWebView,Microsoft EdgeWebView,Multiple,Microsoft Edge WebView2 Runtime,133.0.3065.92,Microsoft Corporation,20250308,,C:\Program Files (x86)\Microsoft\EdgeWebView\Application,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\133.0.3065.92\Installer\setup.exe"" --uninstall --msedgewebview --system-level --verbose-logging"
2022-05-07 05:27:59.9010667,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\MobileOptionPack,MobileOptionPack,Multiple,,,,,,,
2022-05-07 07:39:43.7812450,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\MPlayer2,MPlayer2,Multiple,,,,,,,
2022-05-07 05:27:59.9010667,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\SchedulingAgent,SchedulingAgent,Multiple,,,,,,,
2022-05-07 05:27:59.9010667,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\WIC,WIC,Multiple,,,,,,,
2025-02-20 06:54:26.9292626,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{06914793-247b-4bff-bd19-d3e735a04803},{06914793-247b-4bff-bd19-d3e735a04803},Multiple,Microsoft .NET Runtime - 9.0.2 (x64),9.0.2.34516,Microsoft Corporation,,,,"""C:\ProgramData\Package Cache\{06914793-247b-4bff-bd19-d3e735a04803}\dotnet-runtime-9.0.2-win-x64.exe""  /uninstall"
2025-03-10 01:50:13.6990380,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{2c3ec0ef-0782-4ec8-b65d-c1f373b10e96},{2c3ec0ef-0782-4ec8-b65d-c1f373b10e96},Multiple,Microsoft Windows Desktop Runtime - 9.0.2 (x64),9.0.2.34517,Microsoft Corporation,,,,"""C:\ProgramData\Package Cache\{2c3ec0ef-0782-4ec8-b65d-c1f373b10e96}\windowsdesktop-runtime-9.0.2-win-x64.exe""  /uninstall"
2025-02-19 08:12:18.8324523,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{410c0ee1-00bb-41b6-9772-e12c2828b02f},{410c0ee1-00bb-41b6-9772-e12c2828b02f},Multiple,Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.36.32532,14.36.32532.0,Microsoft Corporation,,,,"""C:\ProgramData\Package Cache\{410c0ee1-00bb-41b6-9772-e12c2828b02f}\VC_redist.x86.exe""  /uninstall"
2025-02-04 08:36:06.1492638,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{73F77E4E-5A17-46E5-A5FC-8A061047725F},{73F77E4E-5A17-46E5-A5FC-8A061047725F},Multiple,Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.36.32532,14.36.32532,Microsoft Corporation,20250204,C:\ProgramData\Package Cache\{73F77E4E-5A17-46E5-A5FC-8A061047725F}v14.36.32532\packages\vcRuntimeMinimum_x86\,,MsiExec.exe /I{73F77E4E-5A17-46E5-A5FC-8A061047725F}
2025-02-19 08:12:19.9238456,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{8bdfe669-9705-4184-9368-db9ce581e0e7},{8bdfe669-9705-4184-9368-db9ce581e0e7},Multiple,Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.36.32532,14.36.32532.0,Microsoft Corporation,,,,"""C:\ProgramData\Package Cache\{8bdfe669-9705-4184-9368-db9ce581e0e7}\VC_redist.x64.exe""  /uninstall"
2025-02-04 08:36:06.5589087,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{C2C59CAB-8766-4ABD-A8EF-1151A36C41E5},{C2C59CAB-8766-4ABD-A8EF-1151A36C41E5},Multiple,Microsoft Visual C++ 2022 X86 Additional Runtime - 14.36.32532,14.36.32532,Microsoft Corporation,20250204,C:\ProgramData\Package Cache\{C2C59CAB-8766-4ABD-A8EF-1151A36C41E5}v14.36.32532\packages\vcRuntimeAdditional_x86\,,MsiExec.exe /I{C2C59CAB-8766-4ABD-A8EF-1151A36C41E5}
2025-03-09 12:18:41.5543933,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{D6BDDB48-938A-4384-A7BE-2B4E4931B111},{D6BDDB48-938A-4384-A7BE-2B4E4931B111},Multiple,Python Launcher,3.7.6386.0,Python Software Foundation,20250309,C:\ProgramData\Package Cache\{D6BDDB48-938A-4384-A7BE-2B4E4931B111}v3.7.6386.0\,,MsiExec.exe /X{D6BDDB48-938A-4384-A7BE-2B4E4931B111}
