HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,Clipboard History Status,System Info,ROOT\Microsoft\PolicyManager\default\Privacy\AllowCrossDeviceClipboard,value,RegDword,1,,,"Displays the status of Clipboard Sync Across Devices, 0 = Disabled, 1 = Enabled",False,False,2022-05-07 05:25:23.1093288,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,Volume Info Cache,Devices,ROOT\Microsoft\Windows Search\VolumeInfoCache,Multiple,(plugin),DriveName: C: VolumeLabel:  DriveType: Fixed,Timestamp: 2025-02-04 08:10:50.4905335,,"2 = Removable, 3 = Fixed, 4 = Network, 5 = Optical, 6 = RAM disk, 0 = Unknown",False,False,2025-02-04 08:10:50.4905335,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_VolumeInfoCache__SOFTWARE.csv
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,User Accounts (SOFTWARE),User Accounts,ROOT\Microsoft\Windows NT\CurrentVersion\ProfileList,Multiple,(plugin),KeyName: S-1-5-18,Timestamp: 2022-05-07 05:28:05.9170837,ProfileImagePath: %systemroot%\system32\config\systemprofile,User accounts in SOFTWARE hive,False,False,2025-02-04 08:35:39.5938983,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_ProfileList__SOFTWARE.csv
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,User Accounts (SOFTWARE),User Accounts,ROOT\Microsoft\Windows NT\CurrentVersion\ProfileList,Multiple,(plugin),KeyName: S-1-5-19,Timestamp: 2022-05-07 05:28:05.9170837,ProfileImagePath: %systemroot%\ServiceProfiles\LocalService,User accounts in SOFTWARE hive,False,False,2025-02-04 08:35:39.5938983,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_ProfileList__SOFTWARE.csv
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,User Accounts (SOFTWARE),User Accounts,ROOT\Microsoft\Windows NT\CurrentVersion\ProfileList,Multiple,(plugin),KeyName: S-1-5-20,Timestamp: 2022-05-07 05:28:05.9170837,ProfileImagePath: %systemroot%\ServiceProfiles\NetworkService,User accounts in SOFTWARE hive,False,False,2025-02-04 08:35:39.5938983,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_ProfileList__SOFTWARE.csv
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,User Accounts (SOFTWARE),User Accounts,ROOT\Microsoft\Windows NT\CurrentVersion\ProfileList,Multiple,(plugin),KeyName: S-1-5-21-3772742331-1108507784-3781162965-1001,Timestamp: 2025-03-09 11:40:27.6210030,ProfileImagePath: C:\Users\hans,User accounts in SOFTWARE hive,False,False,2025-02-04 08:35:39.5938983,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_ProfileList__SOFTWARE.csv
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,RADAR,Program Execution,ROOT\Microsoft\RADAR\HeapLeakDetection,Multiple,(plugin),Filename: Code.exe,LastDetectionTime: 2025-02-24 05:13:56.1275861,KeyName: DiagnosedApplications,Displays applications that were running at one point in time on this system,False,False,2022-05-07 05:25:22.7968095,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_RADAR__SOFTWARE.csv
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,RADAR,Program Execution,ROOT\Microsoft\RADAR\HeapLeakDetection,Multiple,(plugin),Filename: msedge.exe,LastDetectionTime: 2025-02-24 13:02:15.1875202,KeyName: DiagnosedApplications,Displays applications that were running at one point in time on this system,False,False,2022-05-07 05:25:22.7968095,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_RADAR__SOFTWARE.csv
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,RADAR,Program Execution,ROOT\Microsoft\RADAR\HeapLeakDetection,Multiple,(plugin),Filename: python3.13.exe,LastDetectionTime: 2025-03-09 10:11:09.2430552,KeyName: DiagnosedApplications,Displays applications that were running at one point in time on this system,False,False,2022-05-07 05:25:22.7968095,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_RADAR__SOFTWARE.csv
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\OfflineFiles\C\Windows\System32\config\SOFTWARE,Software,RADAR,Program Execution,ROOT\Microsoft\RADAR\HeapLeakDetection,Multiple,(plugin),Filename: TiWorker.exe,LastDetectionTime: 2025-02-20 06:55:58.4999436,KeyName: DiagnosedApplications,Displays applications that were running at one point in time on this system,False,False,2022-05-07 05:25:22.7968095,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-58-44\SOFTWARE\20250310045846\20250310045846_RADAR__SOFTWARE.csv
