CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
102,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{E92C6FF6-62ED-46B0-B891-9B8C978DA221}\EDGEMITMP_6E43D.tmp\setup.exe,AppCompatCache,2025-02-24 05:10:35.8490914
103,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{E92C6FF6-62ED-46B0-B891-9B8C978DA221}\MicrosoftEdge_X64_133.0.3065.82_133.0.3065.69.exe,AppCompatCache,2025-02-24 05:10:34.6824606
104,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\Edge\Application\133.0.3065.82\Installer\setup.exe,AppCompatCache,2025-02-24 05:08:28.8455145
105,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\AM_Base_Patch1.exe,AppCompatCache,2025-02-24 05:09:41.8020557
106,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.224.11211.0_x64__8wekyb3d8bbwe\GameBarFTServer.exe,AppCompatCache,2025-02-20 07:00:50.1743646
107,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.224.11211.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2025-02-20 07:00:53.1687613
108,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000700e02bcb0000	0000000000000000	8664	Microsoft.XboxGamingOverlay	8wekyb3d8bbwe	,AppCompatCache,
109,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{AE6CEDC4-4CA4-4991-9F99-1355CD20804A}\EDGEMITMP_AAE16.tmp\setup.exe,AppCompatCache,2025-02-24 05:08:28.8455145
110,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{AE6CEDC4-4CA4-4991-9F99-1355CD20804A}\MicrosoftEdge_X64_133.0.3065.82_133.0.3065.69.exe,AppCompatCache,2025-02-24 05:08:27.8139261
111,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\WerFaultSecure.exe,AppCompatCache,2023-10-01 06:48:57.5084100
